code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
002670,国盛金控,715.93,0.031,,0.0481,6.7007
600421,ST仰帆,55.9852,-0.0394,,-0.0523,-5.8907
000627,天茂集团,20.3234,0.0536,4.9483,0.0636,42.1171
600247,*ST成城,18.4661,0.5468,35.4125,0.5631,68.6417
000897,津滨发展,5.5751,0.0932,,0.1158,13.5558
000611,天首发展,4.9996,0.0504,,0.0841,9.695
300023,宝德股份,3.4525,0.1772,,0.213,22.2368
300189,神农基因,3.2572,0.3022,15.7301,6.0327,702.8397
000616,海航投资,3.1745,0.0701,1.7876,0.1641,27.1368
000046,泛海控股,2.6198,0.0314,3.4459,0.0366,6.0044
600503,华丽家族,2.4501,0.0941,30.7546,0.2032,28.9158
600053,九鼎投资,2.4282,0.2868,8.5342,0.491,62.2399
600643,爱建集团,2.2053,0.037000000000000005,1.1634,0.0583,10.5531
600790,轻纺城,2.1269,0.1564,4.8834,0.3339,35.5448
600322,天房发展,2.0129,0.1445,29.8479,0.1729,23.8455
000667,美好置业,1.6253,0.0396,4.0053,0.0611,8.4262
600077,宋都股份,1.5669,0.1004,15.728,0.1225,14.9248
000828,东莞控股,1.5352,0.1806,2.6329,0.4416,71.8458
600318,新力金融,1.5236,0.1047,5.5122,0.1653,23.0979
600515,海航基础,1.4174,0.0893,6.2331,0.1665,23.5098
300295,三六五网,1.3171,0.2478,5.1295,0.7304,73.0353
000576,广东甘化,1.176,0.2801,,3.9663,397.2929
002305,南国置业,1.1123,0.0817,20.9391,0.1036,19.0609
000720,*ST新能,1.0948,0.2133,2.1587,0.3082,38.7533
000863,三湘印象,1.0598,0.1089,18.4953,0.201,42.5309
000514,渝开发,1.0439,0.0624,15.0953,0.1328,24.8056
000890,法尔胜,1.0317,0.1753,35.8183,0.1965,21.1573
000809,铁岭新城,1.0158,0.018000000000000002,9.2424,0.0385,10.3949
600791,京能置业,0.9904,0.0798,4.5379,0.1344,25.5093
600846,同济科技,0.9615,0.1579,9.9513,0.2065,27.0316
000736,中交地产,0.9227,0.0839,7.4854,0.0934,13.7252
002618,丹邦科技,0.9167,0.0945,9.1109,0.3242,58.3902
000573,粤宏远A,0.9132,0.0662,,0.1222,18.3845
600777,新潮能源,0.9093,0.131,4.9741,0.3291,105.5853
300291,华录百纳,0.8796,0.0567,,0.6826,68.3338
300215,电科院,0.8612,0.1216,4.8472,0.26899999999999996,49.2339
603797,联泰环保,0.8311,0.0409,2.6552,0.0586,26.0715
002039,黔源电力,0.8135,0.0879,3.12,0.1227,56.0769
002417,深南股份,0.8111,0.1905,,1.45,146.0284
000506,中润资源,0.7887,0.0938,,0.1651,17.6145
600565,迪马股份,0.7818,0.075,10.8878,0.0898,10.8136
000036,华联控股,0.7763,0.1842,2.6636,0.3447,47.8493
600533,栖霞建设,0.7719,0.0621,8.8594,0.0804,16.4813
600510,黑牡丹,0.7467,0.0823,19.0483,0.1192,15.4583
000631,顺发恒业,0.7383,0.1041,1.6187,0.1949,31.8475
600455,博通股份,0.736,0.1274,8.3796,0.1723,17.2895
002089,新海宜,0.7354,0.0437,2.4374,0.0763,10.4669
600033,福建高速,0.7301,0.0826,1.8342,0.2204,92.0404
603377,东方时尚,0.7261,0.1481,2.8671,0.3398,46.8042
600020,中原高速,0.721,0.0606,3.02,0.0797,32.1377
600025,华能水电,0.7195,0.0483,3.2665,0.0646,20.5184
600900,长江电力,0.7191,0.0935,1.5668,0.1728,43.1872
002818,富森美,0.7188,0.1335,1.3715,0.5285,53.8369
600236,桂冠电力,0.7175,0.1093,2.2231,0.1667,48.1726
600251,冠农股份,0.7148,0.23800000000000002,9.0137,0.4584,50.0517
600598,北大荒,0.7002,0.2095,1.8475,0.8140000000000001,85.5303
600325,华发股份,0.6906,0.0543,5.7263,0.0639,9.5601
601368,绿城水务,0.6892,0.0779,3.0518,0.1236,52.644
600732,ST新梅,0.6802,0.0355,,0.2621,26.2059
000558,莱茵体育,0.6793,0.1781,20.3684,0.4031,78.0545
601188,龙江交通,0.6769,0.0749,1.4361,0.4905,49.2368
000838,财信发展,0.6687,0.0511,34.6537,0.0615,8.1949
600094,大名城,0.6596,0.0853,37.94,0.1109,15.8029
601985,中国核电,0.6574,0.0579,2.6369,0.078,46.7819
600368,五洲交通,0.6544,0.0784,2.8242,0.1168,36.4015
601619,嘉泽新能,0.6497,0.0606,2.1906,0.0859,47.4393
300708,聚灿光电,0.6408,0.0817,,0.10300000000000001,11.8132
300087,荃银高科,0.6348,0.0975,,0.1983,20.7246
601518,吉林高速,0.6341,0.0593,1.8399,0.1378,92.2665
600012,皖通高速,0.628,0.0971,1.6685,0.3395,100.8396
600506,香梨股份,0.6225,0.0464,,0.4343,65.6174
300216,千山药机,0.6213,0.0254,,0.0276,2.9853
600657,信达地产,0.609,0.0486,4.9313,0.0601,8.5613
603693,江苏新能,0.6026,0.0826,2.0811,0.2174,104.3555
002344,海宁皮城,0.6018,0.0569,2.6176,0.1544,17.7377
000429,粤高速A,0.601,0.0896,1.0188,0.2238,48.5637
000885,城发环境,0.5885,0.1026,1.857,0.1473,36.1092
000517,荣安地产,0.5874,0.0605,3.4325,0.076,8.8355
002619,艾格拉斯,0.5849,0.0462,0.9155,0.3956,39.701
002466,天齐锂业,0.5845,0.134,1.3222,0.3162,80.7717
600603,广汇物流,0.5844,0.0499,2.1067,0.1051,16.5933
600674,川投能源,0.5822,0.0112,0.1247,0.0515,6.3243
600177,雅戈尔,0.5795,0.0366,1.1707,0.0561,7.785
300144,宋城演艺,0.5772,0.14400000000000002,1.2522,1.0495,106.1165
000886,海南高速,0.5727,0.0655,1.3747,0.4275,47.9801
300090,盛运环保,0.5712,0.0268,,0.0359,6.2828
600163,中闽能源,0.5712,0.0542,1.9312,0.1092,33.2435
000018,神州长城,0.5698,0.1171,55.0865,0.1464,15.7427
000061,农产品,0.5659,0.051,9.8184,0.077,13.2706
300502,新易盛,0.5657,0.2236,55.7887,1.1601,117.5173
600548,深高速,0.5627,0.0525,1.4152,0.0844,40.5958
600377,宁沪高速,0.5556,0.091,1.137,0.2429,61.6583
000426,兴业矿业,0.5476,0.10099999999999999,1.7231,0.2526,49.1434
600622,光大嘉宝,0.5452,0.0755,2.6144,0.11599999999999999,19.555999999999997
601101,昊华能源,0.5415,0.1114,2.3048,0.2906,104.2378
000415,渤海金控,0.5412,0.0541,6.2092,0.0624,30.5512
600519,贵州茅台,0.5402,0.1918,1.0621,0.6885,68.8743
000791,甘肃电投,0.5397,0.0495,1.8105,0.07400000000000001,59.2837
601016,节能风电,0.5371,0.045,1.8026,0.0702,36.3993
000802,北京文化,0.5368,0.0301,4.1171,0.1288,12.9304
300059,东方财富,0.5367,0.0138,0.6876,0.0227,2.8958
603136,天目湖,0.5289,0.175,1.7835,0.8809,161.4286
600962,国投中鲁,0.5286,0.1925,31.8703,0.4814,56.9446
603444,吉比特,0.5264,0.1681,0.956,0.7717,86.7595
300741,华宝股份,0.5182,0.0837,0.9515,1.9992,201.9912
600516,方大炭素,0.5145,0.3136,0.9755,1.5791,178.9955
601616,广电电气,0.5116,0.0782,1.199,0.6878,71.8256
300568,星源材质,0.5,0.0686,1.2611,0.1354,35.5459
603127,昭衍新药,0.4994,0.1108,2.1284,0.2436,29.0028
000048,*ST康达,0.4982,0.1602,8.0272,0.2164,31.9351
002034,旺能环境,0.4932,0.0522,1.3209,0.1358,46.4292
601326,秦港股份,0.4835,0.0979,3.0047,0.2375,68.6634
000655,*ST金岭,0.4795,0.1381,5.1703,1.1355,131.47
000862,银星能源,0.4771,0.043,5.8154,0.0619,27.3803
600007,中国国贸,0.4751,0.0975,1.8803,0.2387,46.0401
601018,宁波港,0.4748,0.1102,2.9112,0.2679,37.3634
600886,国投电力,0.4746,0.0652,2.0552,0.0949,44.8406
002287,奇正藏药,0.4714,0.1753,1.642,1.2273,151.7882
603300,华铁科技,0.4712,0.0514,1.9992,0.153,17.7694
300631,久吾高科,0.4688,0.1334,3.8672,0.3654,40.891
001965,招商公路,0.4684,0.0254,0.6292,0.0634,34.8605
300315,掌趣科技,0.4683,0.0766,1.3128,1.3048,140.9686
000014,沙河股份,0.4661,0.0475,20.9671,0.0845,9.079
600009,上海机场,0.4644,0.1073,0.9789,1.4341,143.964
600703,三安光电,0.4622,0.0998,1.1394,0.3582,74.5425
000598,兴蓉环境,0.4615,0.0718,1.6003,0.1658,27.1804
002159,三特索道,0.4609,0.086,1.4117,0.1378,19.5789
600371,万向德农,0.4537,0.102,2.1688,0.2848,29.9506
600540,新赛股份,0.4488,0.1725,35.6673,0.2393,25.1569
603817,海峡环保,0.4486,0.0494,1.82,0.1118,20.012999999999998
600665,天地源,0.4467,0.0816,5.13,0.0964,16.5369
601918,新集能源,0.4456,0.0975,2.9349,0.124,27.5704
601158,重庆水务,0.4447,0.0862,1.1534,0.3586,65.26899999999999
600283,钱江水利,0.4445,0.0637,2.9743,0.1094,15.9553
600004,白云机场,0.4444,0.0923,2.7446,0.213,36.4824
000722,湖南发展,0.444,0.027000000000000003,1.2742,0.4023,110.7056
603099,长白山,0.444,0.1288,2.2122,0.5618,82.8852
002208,合肥城建,0.4413,0.052000000000000005,3.6112,0.0617,6.9062
600724,宁波富达,0.4405,0.1061,3.516,0.1327,18.1698
000973,佛塑科技,0.4399,0.1318,15.8843,0.2307,28.2664
002604,*ST龙力,0.4378,0.0776,,0.0677,7.3068
000671,阳光城,0.4363,0.0428,6.9241,0.0501,7.3260000000000005
601107,四川成渝,0.436,0.0531,1.9699,0.0917,41.7111
002071,长城影视,0.435,0.1072,2.8001,0.1469,16.1954
601199,江南水务,0.4343,0.0663,1.9726,0.1863,27.1141
600897,厦门空港,0.4314,0.1275,1.4452,0.7339,76.3294
000006,深振业A,0.4283,0.0548,1.2517,0.1057,14.1755
600350,山东高速,0.4272,0.0311,0.5384,0.0624,21.4421
300492,山鼎设计,0.4255,0.1559,4.8071,0.8057,93.821
600139,西部资源,0.4238,0.0207,,0.026000000000000002,6.5839
300595,欧普康视,0.4232,0.1182,0.8437,0.8436,88.0932
300107,建新股份,0.4228,0.289,0.9042,3.1503,331.0788
000029,深深房A,0.4155,0.1495,1.7774,0.4827,48.9644
000421,南京公用,0.4144,0.0915,5.9071,0.1343,14.4916
000909,数源科技,0.4126,0.1536,11.0403,0.2446,31.929000000000002
600269,赣粤高速,0.4122,0.0396,1.6274,0.0764,24.93
603993,洛阳钼业,0.4081,0.0784,1.7518,0.1501,45.6377
600215,长春经开,0.4071,0.0751,2.8412,0.6112,62.1953
600593,大连圣亚,0.4066,0.0724,1.3514,0.1366,17.5347
000792,盐湖股份,0.4053,0.0653,,0.0895,16.6191
300548,博创科技,0.4049,0.109,1.7597,1.0676,128.7192
300642,透景生命,0.3995,0.0908,1.0526,1.6095,183.8213
300312,邦讯技术,0.3993,0.064,,0.1491,19.3335
300418,昆仑万维,0.3989,0.111,0.9462,0.2913,44.4932
002167,东方锆业,0.39799999999999996,0.0666,9.6685,0.1113,15.5708
300446,乐凯新材,0.3979,0.1174,1.0522,1.7296,298.9302
000972,ST中基,0.3973,0.1014,,0.1809,18.4577
000752,西藏发展,0.3963,0.0752,4.6129,0.4105,41.8986
300106,西部牧业,0.3958,0.1147,8.589,0.192,20.5797
603881,数据港,0.3949,0.1016,2.0316,0.2035,36.4167
603306,华懋科技,0.3935,0.1167,1.3644,1.1217,122.4108
000688,国城矿业,0.3926,0.1388,1.1513,1.9938,247.2171
600211,西藏药业,0.3925,0.1119,1.2498,0.9203,97.6097
600158,中体产业,0.3906,0.0642,7.2338,0.11199999999999999,11.7113
002496,ST辉丰,0.3886,0.1399,,0.3256,51.067
000488,晨鸣纸业,0.3862,0.0874,3.6058,0.1168,15.8233
002659,凯文教育,0.386,0.016,,0.0369,9.3915
002104,恒宝股份,0.3851,0.2135,4.1094,2.2938,250.2551
000582,北部湾港,0.3842,0.0729,2.0684,0.1612,29.9759
603043,广州酒家,0.3837,0.2649,2.5903,0.7649,76.6667
600050,中国联通,0.3784,0.1511,10.5147,0.3537,38.9141
603429,集友股份,0.3778,0.1282,1.4105,0.4272,46.0419
002033,丽江旅游,0.3763,0.0778,0.9823,1.4456,150.45
600663,陆家嘴,0.3758,0.0408,1.1532,0.055999999999999994,9.6488
002517,恺英网络,0.3757,0.1,1.1041,0.6177,61.8691
600784,鲁银投资,0.3757,0.1366,8.1784,0.2279,23.7442
000596,古井贡酒,0.3752,0.203,1.9687,0.5157,53.528
600317,营口港,0.3739,0.0753,2.0357,0.2841,53.9335
002001,新和成,0.3725,0.1223,0.9797,0.524,66.8957
600759,洲际油气,0.3722,0.0585,3.7598,0.0905,18.7921
002557,洽洽食品,0.3707,0.2356,3.5057,0.8217,85.5819
600106,重庆路桥,0.368,0.0101,0.3087,0.0221,5.8715
300630,普利制药,0.3676,0.1477,1.2201,0.8312,114.9239
600316,洪都航空,0.36700000000000005,0.0313,,0.0629,6.4942
300077,国民技术,0.3643,0.0446,0.8043,0.1582,16.8729
000088,盐田港,0.3639,0.0108,0.3273,0.0436,24.3248
600874,创业环保,0.3615,0.0443,1.4188,0.0814,37.7971
300612,宣亚国际,0.3601,0.17,10.3843,0.7816,78.1592
300040,九洲电气,0.3594,0.0666,4.6557,0.1339,19.5809
000027,深圳能源,0.359,0.0548,6.5916,0.0784,20.3795
300342,天银机电,0.3582,0.1075,2.0859,0.3808,39.1355
300628,亿联网络,0.3582,0.1356,0.7120000000000001,2.9525,295.2453
002275,桂林三金,0.358,0.1229,1.0858,0.8748,114.2289
600867,通化东宝,0.35600000000000004,0.1303,1.0423,1.1811,126.3088
002901,大博医疗,0.3557,0.1262,0.6709999999999999,1.1457,142.3421
600393,粤泰股份,0.3555,0.0444,1.4561,0.0671,7.9588
600290,华仪电气,0.3548,0.0504,22.2124,0.1124,11.943
600338,西藏珠峰,0.3545,0.1348,0.7243,0.3294,66.3982
300401,花园生物,0.3543,0.106,0.75,1.5261,156.8274
002805,丰元股份,0.3541,0.1005,4.3668,0.6078,61.3827
002007,华兰生物,0.3537,0.1253,0.9435,1.7125,171.2527
002549,凯美特气,0.3532,0.0942,1.7814,0.2892,42.9265
300653,正海生物,0.3516,0.1033,0.8929,1.0593,146.6948
600295,鄂尔多斯,0.3509,0.1309,6.9307,0.1877,21.6331
601088,中国神华,0.3494,0.1131,1.5694,0.342,51.1397
600256,广汇能源,0.3487,0.0653,2.4925,0.0991,17.6779
600054,黄山旅游,0.3484,0.0864,0.9386,0.8431,108.2755
600037,歌华有线,0.348,0.0401,1.1464,0.2314,37.2351
603080,新疆火炬,0.3475,0.0761,1.4729,0.6625,67.8206
002201,九鼎新材,0.3463,0.1075,34.2906,0.1717,26.7575
300111,向日葵,0.3453,0.0805,,0.1498,18.8791
002233,塔牌集团,0.3437,0.1556,1.2444,1.0904,113.7434
300357,我武生物,0.3432,0.1321,0.7,2.6879,298.1704
601007,金陵饭店,0.34299999999999997,0.0906,3.1267,0.3269,55.3001
002605,姚记扑克,0.3424,0.0684,1.5466,0.1887,18.8687
600798,宁波海运,0.3416,0.08,3.2161,0.1806,61.5837
002925,盈趣科技,0.3406,0.1592,1.1387,0.8686,98.6475
300229,拓尔思,0.34,0.0737,3.3876,0.3143,31.9918
603886,元祖股份,0.3395,0.2101,2.2413,0.434,43.9799
002770,科迪乳业,0.3386,0.1063,3.04,0.2452,25.372
600309,万华化学,0.3379,0.2156,1.4293,0.4472,53.1666
002690,美亚光电,0.3373,0.1138,0.9079999999999999,0.7842,94.9932
300211,亿通科技,0.3369,0.0605,11.7224,0.5443,56.9873
000888,峨眉山A,0.3367,0.1017,1.6921,0.6061,111.9419
002040,南京港,0.3366,0.0373,1.1661,0.1136,24.5327
000557,西部创业,0.336,0.0347,2.0783,0.2043,21.4628
600868,梅雁吉祥,0.3349,0.0241,2.5614,0.9075,93.6724
603040,新坐标,0.3346,0.1003,0.9238,1.0868,117.8838
601200,上海环境,0.3337,0.044000000000000004,1.0656,0.0893,20.9153
603338,浙江鼎力,0.3334,0.1297,1.1161,0.5044,59.7216
000430,张家界,0.3327,0.049,2.2403,0.1406,27.8495
603305,旭升股份,0.3324,0.1402,1.1922,0.4474,46.3723
002616,长青集团,0.3319,0.0998,5.1664,0.1708,29.6526
002365,永安药业,0.3318,0.1314,1.5938,0.8497,90.7577
603167,渤海轮渡,0.3316,0.0873,1.2196,0.3114,96.5299
002320,海峡股份,0.3312,0.0691,1.2826,0.9905,124.8591
000089,深圳机场,0.3302,0.0645,1.4980000000000002,0.4339,43.4732
600467,好当家,0.3294,0.0509,5.7174,0.1062,12.0976
000544,中原环保,0.3275,0.0303,0.8699,0.1275,20.3261
002625,光启技术,0.3268,0.0109,2.6927,0.1172,19.1087
002836,新宏泽,0.3268,0.1044,2.2191,0.4651,48.0284
601001,大同煤业,0.3253,0.1028,2.312,0.1695,25.3375
600017,日照港,0.3249,0.059000000000000004,2.0353,0.1422,28.151999999999997
600401,*ST海润,0.3249,0.0228,,0.023,2.9676
603896,寿仙谷,0.3227,0.0965,1.7445,0.6484,151.8859
603360,百傲化学,0.3222,0.1387,1.1968,0.7434,102.1386
000915,山大华特,0.3222,0.1377,1.4307,0.7477,79.6642
300529,健帆生物,0.3213,0.1193,0.7338,0.7933,93.0764
000620,新华联,0.3205,0.0362,5.8691,0.0434,7.1707
300016,北陆药业,0.3198,0.1177,1.1746,1.9006,263.3446
601216,君正集团,0.3197,0.0839,1.0811,0.3095,43.396
601828,美凯龙,0.3194,0.0295,0.7267,0.0506,12.2272
600176,中国巨石,0.3194,0.0826,1.2704,0.1566,20.7389
000935,四川双马,0.3193,0.1154,0.9299,0.5982,60.3951
603658,安图生物,0.3189,0.1778,1.0388,0.6861,78.8644
000022,深赤湾A,0.3185,0.0773,0.9173,0.3251,50.8519
300701,森霸传感,0.318,0.0871,0.8058,1.7598,189.33900000000003
603199,九华旅游,0.3179,0.0916,1.4376,0.6741,76.2673
002294,信立泰,0.3178,0.1483,0.9793,1.0602,138.1923
300623,捷捷微电,0.3176,0.0866,0.9675,0.7535,85.9944
600225,天津松江,0.3169,0.0499,,0.0564,7.0041
300459,金科文化,0.316,0.0526,0.7732,0.1211,32.0598
300408,三环集团,0.3158,0.1119,0.9577,0.6527,88.5561
000690,宝新能源,0.3148,0.0415,1.425,0.0724,69.36
002535,林州重机,0.3138,0.0661,6.8694,0.1078,11.569
300636,同和药业,0.3138,0.0734,2.2433,0.4252,51.2222
600844,丹化科技,0.3129,0.0906,41.1393,0.4274,45.3395
601225,陕西煤业,0.3123,0.1055,0.973,0.2391,42.9603
002507,涪陵榨菜,0.312,0.1665,0.9214,0.8568,106.2882
002506,协鑫集成,0.3118,0.1303,,0.1653,17.5222
002023,海特高新,0.3111,0.0178,3.3685,0.0483,10.6521
300182,捷成股份,0.3101,0.0626,1.3669,0.1591,20.4806
300258,精锻科技,0.3095,0.1103,1.2861,0.3567,39.6241
002451,摩恩电气,0.3093,0.0909,22.2372,0.1635,18.4119
000009,中国宝安,0.3093,0.0714,7.9244,0.1092,17.3277
000056,皇庭国际,0.3086,0.0166,1.1465,0.0299,11.9594
300589,江龙船艇,0.308,0.1066,6.0322,0.1746,18.2094
600495,晋西车轴,0.3051,0.0705,6.983,0.3488,38.172
300192,科斯伍德,0.3047,0.1279,1.7686,0.2657,45.9096
603508,思维列控,0.3026,0.0425,0.8388,0.7695,77.8248
600563,法拉电子,0.3021,0.1381,1.1715,0.8707,90.6369
002827,高争民爆,0.3009,0.0834,1.3638,0.7929,84.6899
601866,中远海发,0.2999,0.0292,4.5874,0.0333,8.1204
300322,硕贝德,0.2991,0.2071,6.2615,0.3344,37.6929
600660,福耀玻璃,0.2988,0.1242,1.3869999999999998,0.2863,34.6557
002359,北讯集团,0.2986,0.0474,1.5505,0.0763,13.9954
603773,沃格光电,0.2965,0.0863,0.912,1.0375,110.4447
600802,福建水泥,0.2962,0.1504,1.5356,0.2346,24.9158
300323,华灿光电,0.29600000000000004,0.052000000000000005,1.3896,0.0972,15.6324
300198,纳川股份,0.2955,0.0835,43.7093,0.1668,22.2184
002647,仁东控股,0.2952,0.0903,9.2921,0.1281,17.7082
600132,重庆啤酒,0.2952,0.247,2.0424,0.3763,51.099
000156,华数传媒,0.2949,0.0486,1.4661,0.1751,27.1799
000961,中南建设,0.2932,0.0402,5.6689,0.0447,5.6435
000758,中色股份,0.293,0.122,10.6612,0.1938,27.8401
300750,宁德时代,0.2928,0.0878,2.1207,0.1915,25.6738
603166,福达股份,0.2924,0.0923,3.9083,0.2527,30.1891
603568,伟明环保,0.2923,0.0707,0.5937,0.1639,68.3894
002700,新疆浩源,0.2922,0.0625,1.6572,0.441,44.1828
603959,百利科技,0.2921,0.0605,1.7844,0.0993,11.0938
600870,*ST厦华,0.2916,0.1505,,0.1481,14.8136
600750,江中药业,0.2906,0.1053,1.0614,0.872,124.7836
600795,国电电力,0.2906,0.05,3.9335,0.0679,22.0453
600230,沧州大化,0.29,0.2171,0.9021,1.4615,167.6862
300695,兆丰股份,0.2895,0.0546,0.7886,0.3698,39.4343
600763,通策医疗,0.2881,0.163,1.1147,0.5,156.1854
000636,风华高科,0.2876,0.1459,1.1263,0.6609999999999999,76.4542
603058,永吉股份,0.287,0.09,0.9990000000000001,1.474,155.3905
002146,荣盛发展,0.2867,0.0409,2.0868,0.0482,6.0754
000767,漳泽电力,0.2863,0.0478,,0.0572,12.0421
600995,文山电力,0.2859,0.1598,1.3363,0.5743,139.9216
002382,蓝帆医疗,0.2858,0.0356,1.9233,0.076,12.5505
600426,华鲁恒升,0.2857,0.1654,1.2227,0.433,77.4425
600161,天坛生物,0.2855,0.1198,1.0332,0.9359,94.7046
601588,北辰实业,0.2852,0.034,1.889,0.0407,6.5066
600969,郴电国际,0.2852,0.0463,5.2085,0.0666,40.91
300406,九强生物,0.2852,0.0854,0.7794,0.8352,89.3713
300637,扬帆新材,0.2848,0.1496,1.0458,1.2118,125.9993
300204,舒泰神,0.2845,0.0651,1.5179,0.5209,69.4337
000952,广济药业,0.2838,0.1069,1.2969,0.2323,27.0201
603585,苏利股份,0.2831,0.1485,1.0937,1.7367,184.1144
600825,新华传媒,0.2829,0.0597,9.4379,0.1743,17.4257
603393,新天然气,0.2808,0.034,1.6875,0.0991,42.8084
600566,济川药业,0.2808,0.2059,1.1896,0.6274,84.4074
002304,洋河股份,0.2802,0.13,0.8345,0.4666,47.8577
002256,兆新股份,0.2801,0.0336,1.7014,0.0748,9.2421
300488,恒锋工具,0.2791,0.0658,0.8103,0.4727,75.1125
601020,华钰矿业,0.2786,0.0628,1.3119999999999998,0.1957,39.9455
600198,*ST大唐,0.2783,0.055,1.7269,0.0572,8.8093
000672,上峰水泥,0.2762,0.1466,1.0814,0.2754,30.962
300113,顺网科技,0.276,0.1069,0.7846,0.7753,79.9607
000685,中山公用,0.2752,0.0218,0.6153,0.083,15.423
601699,潞安环能,0.2749,0.07400000000000001,2.2587,0.1152,15.3656
603203,快克股份,0.2747,0.0877,0.7741,0.4634,50.121
300033,同花顺,0.2743,0.0642,0.7834,0.2905,29.2299
600744,华银电力,0.2742,0.099,,0.1165,25.5744
002677,浙江美大,0.27399999999999997,0.1529,1.0339,0.5846,58.8704
300590,移为通信,0.2735,0.084,1.0104,0.4859,50.5636
002626,金达威,0.2735,0.1233,0.8779,0.3527,70.9383
000755,*ST三维,0.2734,0.0377,,0.0417,12.8513
002346,柘中股份,0.2731,0.05,2.3139,0.3093,37.4825
300613,富瀚微,0.273,0.0705,1.7557,0.6076,65.6544
300434,金石东方,0.273,0.0559,2.4909,0.4322,60.0233
600984,建设机械,0.2726,0.0564,3.6401,0.1015,12.4189
603025,大豪科技,0.2719,0.1214,0.7255,1.5025,152.2339
603617,君禾股份,0.2714,0.179,2.2885,0.6283,62.9781
600801,华新水泥,0.2705,0.1597,1.365,0.3248,51.4316
600737,中粮糖业,0.27,0.2326,4.4051,0.4665,55.0646
000981,银亿股份,0.2693,0.042,1.6982,0.0711,9.5455
600971,恒源煤电,0.2691,0.0853,1.8202,0.1732,26.8941
601882,海天精工,0.2691,0.1196,3.2873,0.2582,28.814
603626,科森科技,0.2685,0.1065,6.0958,0.2036,23.8186
603590,康辰药业,0.2684,0.0664,1.1902,0.4674,65.7597
600252,中恒集团,0.2684,0.0923,1.3833,0.456,50.8063
000883,湖北能源,0.2682,0.0512,1.3407,0.1348,20.4795
600707,彩虹股份,0.2681,0.0057,,0.012,3.6752
002138,顺络电子,0.268,0.0942,1.2826,0.655,72.8891
601360,三六零,0.2678,0.098,1.0091,0.5285,54.7746
002545,东方铁塔,0.2677,0.0354,1.8442,0.0984,18.4693
300146,汤臣倍健,0.2673,0.0953,0.9214,0.3604,80.5339
600977,中国电影,0.2671,0.1038,1.3062,0.3108,36.688
300519,新光药业,0.2664,0.0687,0.8204,0.9185,113.3395
000978,桂林旅游,0.2663,0.0407,1.7033,0.0925,25.7424
002019,亿帆医药,0.2654,0.0987,1.3355,0.3865,48.3062
603103,横店影视,0.2653,0.1821,1.8121,0.5721,72.1555
600585,海螺水泥,0.2653,0.1489,0.9688,0.6545,85.5079
002114,罗平锌电,0.2644,0.0968,,0.4575,72.5751
000725,京东方A,0.2634,0.0632,6.1604,0.1034,33.9606
300725,药石科技,0.2629,0.1368,0.9369,0.9921,109.6876
600323,瀚蓝环境,0.2628,0.0623,1.2563,0.1065,28.7715
002562,兄弟科技,0.2617,0.0808,3.7251,0.2296,44.2692
300530,达志科技,0.2587,0.0512,0.6498,0.4931,75.475
002698,博实股份,0.258,0.0498,1.3426,0.1375,14.8021
600131,岷江水电,0.257,0.0857,1.92,0.1762,51.2718
600722,金牛化工,0.2565,0.1502,2.6511,1.1621,116.3182
002492,恒基达鑫,0.2563,0.0307,0.9977,0.1413,22.6067
300101,振芯科技,0.2561,0.05,2.6128,0.1839,30.9009
603758,秦安股份,0.2552,0.0542,,0.9757,97.5711
002191,劲嘉股份,0.2536,0.0758,0.9866,0.4615,47.7654
600168,武汉控股,0.2524,0.0221,1.1703,0.039,8.2481
000683,远兴能源,0.2523,0.0748,1.4339,0.1508,15.8217
300532,今天国际,0.2515,0.0585,4.1964,0.1228,12.805
600804,鹏博士,0.2514,0.0574,3.8618,0.0832,12.982000000000001
002932,明德生物,0.2512,0.0562,0.684,2.258,249.90200000000002
601633,长城汽车,0.2512,0.1543,4.1575,0.2982,32.986999999999995
002555,三七互娱,0.2509,0.1506,1.0366,0.4859,54.8546
601880,大连港,0.2508,0.0384,2.4032,0.0952,25.6867
603776,永安行,0.2507,0.0658,1.712,0.2287,31.0906
603369,今世缘,0.2503,0.1021,0.7681,0.4515,45.5958
601021,春秋航空,0.2499,0.0974,1.801,0.1978,39.8217
000539,粤电力A,0.2489,0.0727,3.8154,0.1249,27.811999999999998
600130,波导股份,0.2488,0.1,2.8884,0.759,79.9902
300004,南风股份,0.2486,0.0369,15.4065,0.2171,25.9889
002772,众兴菌业,0.2484,0.0414,1.5959999999999999,0.1244,69.2454
603809,豪能股份,0.2477,0.0744,1.3116,0.2606,34.0728
002222,福晶科技,0.2468,0.0969,0.7171,0.8776,110.573
300149,量子生物,0.2464,0.0454,1.3668,0.1263,41.7372
601991,大唐发电,0.2464,0.06,5.6593,0.0782,20.7721
603037,凯众股份,0.2461,0.1085,0.9954,0.7373,73.7319
601666,平煤股份,0.2457,0.076,5.8288,0.1104,16.7086
600815,厦工股份,0.2456,0.0972,,0.1089,12.0702
300558,贝达药业,0.2451,0.0702,1.5743,0.2133,32.6813
600509,天富能源,0.2447,0.0419,14.1795,0.0621,15.8665
600863,内蒙华电,0.2447,0.0564,2.9404,0.0854,19.2136
000568,泸州老窖,0.2443,0.1145,0.8029,0.6757,68.7369
